18 1
-28406.9980469 16679.7109375
-6358.734375 12143.9404297
3190.17919922 17041.1972656
34052.7695312 16182.5351562
39266.734375 -1066.66870117
38464.609375 -17334.7128906
14609.9355469 -19519.2558594
1009.74829102 -16242.5917969
3721.09594727 -8468.71972656
-1820.30554199 -7692.83496094
-5878.57275391 -14467.3847656
-15254.5761719 -15286.0566406
-22675.9609375 -14444.2792969
-28411.625 -9649.45507812
-32877.5898438 -7611.07421875
-36896.8007812 -10789.8203125
-41184.1992188 -1243.45996094
-40551.8007812 10845.2373047
